seed,size,value
0,32,0.9136331677436829
0,64,0.1002415120601654
0,128,-0.31190618872642517
1,32,0.16985411942005157
1,64,-0.09380558133125305
1,128,0.46451741456985474
2,32,-0.9529882073402405
2,64,0.20138561725616455
2,128,-0.8583980798721313
3,32,-1.4277852773666382
3,64,-0.6830356121063232
3,128,0.2735622823238373
4,32,-0.09552066773176193
4,64,0.30093592405319214
4,128,0.6097794771194458
5,32,-0.2215196043252945
5,64,0.2475002408027649
5,128,-0.03792424499988556
6,32,1.439920425415039
6,64,-0.8493156433105469
6,128,2.069730281829834
7,32,0.32889530062675476
7,64,0.13265442848205566
7,128,0.2494129091501236
8,32,-0.5478290319442749
8,64,-0.07989931851625443
8,128,-1.34196138381958
9,32,0.6952434182167053
9,64,-1.4374210834503174
9,128,0.48374438285827637
10,32,-1.5591663122177124
10,64,-0.720466673374176
10,128,0.33113765716552734
11,32,-0.37358856201171875
11,64,0.0544985830783844
11,128,-0.6683313846588135
12,32,0.28146374225616455
12,64,0.3476088047027588
12,128,0.16568690538406372
13,32,0.5345566868782043
13,64,-1.2916101217269897
13,128,-0.027025453746318817
14,32,0.7224331498146057
14,64,-0.1578923612833023
14,128,-1.0930157899856567
15,32,0.8571096062660217
15,64,1.0178593397140503
15,128,0.7806536555290222
16,32,0.7112393975257874
16,64,1.2418650388717651
16,128,-0.8912509083747864
17,32,-0.38478967547416687
17,64,0.32267165184020996
17,128,0.5193061232566833
18,32,0.10279230773448944
18,64,0.4099293649196625
18,128,0.46248751878738403
19,32,-0.2866034507751465
19,64,2.413435697555542
19,128,0.6114590167999268
20,32,1.1183472871780396
20,64,-0.3852023780345917
20,128,0.4175165295600891
21,32,-0.2737974226474762
21,64,2.0529730319976807
21,128,-0.6238159537315369
22,32,-0.7832152247428894
22,64,0.2878599464893341
22,128,0.24718177318572998
23,32,0.32451483607292175
23,64,0.5050263404846191
23,128,-0.7423301339149475
24,32,-0.7354933619499207
24,64,1.1592605113983154
24,128,0.32631510496139526
25,32,0.1796179711818695
25,64,0.7927913069725037
25,128,1.163374423980713
26,32,-1.5559592247009277
26,64,1.4906609058380127
26,128,-0.5452571511268616
27,32,0.16240501403808594
27,64,-0.3313230276107788
27,128,0.1519140899181366
28,32,0.17567753791809082
28,64,-0.23349222540855408
28,128,-0.8687625527381897
29,32,-0.042258672416210175
29,64,0.55805504322052
29,128,1.2557792663574219
30,32,0.08416007459163666
30,64,0.7453951835632324
30,128,-1.4132746458053589
31,32,-0.7209691405296326
31,64,-0.57722008228302
31,128,0.3979155123233795
32,32,-1.1006561517715454
32,64,0.5966617465019226
32,128,-0.16007038950920105
33,32,0.7056216597557068
33,64,-0.49583226442337036
33,128,-0.4530162215232849
34,32,-0.9387294054031372
34,64,-0.387849897146225
34,128,-1.1071043014526367
35,32,-0.3216787874698639
35,64,0.3737310469150543
35,128,-1.019729733467102
36,32,-0.9214258193969727
36,64,-1.2490440607070923
36,128,1.2440695762634277
37,32,-0.021446898579597473
37,64,0.13609980046749115
37,128,-0.19018672406673431
38,32,0.6646552085876465
38,64,-0.7709136009216309
38,128,0.0005135349929332733
39,32,-0.24698390066623688
39,64,-0.015265122056007385
39,128,-0.3091295659542084
40,32,-1.394556999206543
40,64,-0.26493319869041443
40,128,-0.6380109786987305
41,32,0.3496013879776001
41,64,-0.16328559815883636
41,128,1.2335890531539917
42,32,0.838253378868103
42,64,0.19373096525669098
42,128,-0.19458763301372528
43,32,1.4426205158233643
43,64,-0.14509548246860504
43,128,0.3124185800552368
44,32,0.6855543255805969
44,64,1.2282695770263672
44,128,-0.9320269227027893
45,32,0.19849184155464172
45,64,0.4945136308670044
45,128,-1.153562307357788
46,32,-1.8927775621414185
46,64,-0.6939873099327087
46,128,-0.025276482105255127
47,32,0.2805822789669037
47,64,-0.4611244797706604
47,128,1.282564401626587
48,32,-0.1899121105670929
48,64,0.4075614809989929
48,128,0.09558136761188507
49,32,1.2165836095809937
49,64,-1.062261939048767
49,128,-0.807819664478302
50,32,0.6198267936706543
50,64,0.8891629576683044
50,128,0.4769873023033142
51,32,0.6645169854164124
51,64,-0.6847253441810608
51,128,0.5007449984550476
52,32,0.13042286038398743
52,64,0.7750869989395142
52,128,-0.2055780291557312
53,32,0.8740684390068054
53,64,-0.532903790473938
53,128,-0.434784471988678
54,32,-0.6929566860198975
54,64,0.5379255414009094
54,128,-0.9829636812210083
55,32,0.4050483703613281
55,64,0.5948706269264221
55,128,0.24005410075187683
56,32,1.4427191019058228
56,64,-1.2362992763519287
56,128,1.0675054788589478
57,32,-0.8379194140434265
57,64,1.022626519203186
57,128,0.19297471642494202
58,32,1.8026726245880127
58,64,0.7916997671127319
58,128,-0.9213412404060364
59,32,-0.09411809593439102
59,64,0.4029170870780945
59,128,-0.986434817314148
60,32,-0.08999606966972351
60,64,0.48473143577575684
60,128,-0.6095704436302185
61,32,-1.5288467407226562
61,64,-0.6822373867034912
61,128,-0.6338062882423401
62,32,0.16462773084640503
62,64,0.23376110196113586
62,128,0.3657034933567047
63,32,0.6990535259246826
63,64,0.9961507320404053
63,128,1.3294942378997803
64,32,0.07107794284820557
64,64,-0.7300936579704285
64,128,-0.5476962924003601
65,32,0.18660789728164673
65,64,-0.120146244764328
65,128,-1.0110900402069092
66,32,0.1217709630727768
66,64,-0.43218427896499634
66,128,-0.8623025417327881
67,32,-0.48229652643203735
67,64,-0.8547312021255493
67,128,1.0639183521270752
68,32,0.14902082085609436
68,64,-0.045992638915777206
68,128,-0.6798480749130249
69,32,-0.15522260963916779
69,64,-0.38638773560523987
69,128,0.8885385990142822
70,32,-0.3022474944591522
70,64,-0.7338095903396606
70,128,0.2392243593931198
71,32,0.7081372141838074
71,64,0.14459586143493652
71,128,-0.5753224492073059
72,32,-0.8756417632102966
72,64,-0.15158452093601227
72,128,1.382991909980774
73,32,0.3592040240764618
73,64,0.23469680547714233
73,128,0.8017004132270813
74,32,-0.13214120268821716
